candidate_id,poet,title,dynasty,claim_type,value_json,evidence_excerpt,source_key,source_name,source_url,citation,source_locator,source_grade,access_level,license_note,match_score,confidence,extraction_method,model_id,prompt_version,status,reviewer,review_note,reviewed_at
446e803e5913a1ba4fadcc5bd9de285c060e9c57eed16cfd57d1268b55c7741a,李白,渡荆门送别,唐,composition_date,"{""precision"":""range"",""year_end"":725,""year_start"":724}",API将作品系于荆门山；两种研究意见分别系于724与725年，坐标采用宜昌市展示点。,legacy:9261d6778a4cbca12de2,古籍文献知识图谱开放API（据《李太白年谱补正》与《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/25787,古籍文献知识图谱开放API（据《李太白年谱补正》与《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/25787,C,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.617,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
e29c597e54a8afc2ed3e49360c7541cf9f3e8f878350ed4b387b932603813233,李白,渡荆门送别,唐,composition_place,"{""historical_place"":""荆门山"",""lat"":30.6919,""lon"":111.2865,""modern_place"":""宜昌市"",""province"":""湖北省""}",API将作品系于荆门山；两种研究意见分别系于724与725年，坐标采用宜昌市展示点。,legacy:9261d6778a4cbca12de2,古籍文献知识图谱开放API（据《李太白年谱补正》与《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/25787,古籍文献知识图谱开放API（据《李太白年谱补正》与《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/25787,C,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.617,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
a5a1c0a59c292231e1cfd57727ced2f75e00afa8f828ab8b608288deaf040202,李白,望庐山瀑布,唐,composition_date,"{""precision"":""year"",""year_end"":725,""year_start"":725}",API年谱条目标注725年登庐山作《望庐山瀑布二首》；当前语料收录其代表篇。,legacy:cfa0f4606b8d928464b5,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/26355,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/26355,B,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.807,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
440b7c923aeefbf20ff2efc42a992f4b5e42877fef6e60a25f91a703744f0dcc,李白,望庐山瀑布,唐,composition_place,"{""historical_place"":""庐山"",""lat"":29.560618,""lon"":115.989402,""modern_place"":""九江市"",""province"":""江西省""}",API年谱条目标注725年登庐山作《望庐山瀑布二首》；当前语料收录其代表篇。,legacy:cfa0f4606b8d928464b5,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/26355,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/26355,B,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.807,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
341312ee3526d2b2210ad40b7ce344905e05535baa19440e9f9120b055c3ce32,李白,黄鹤楼送孟浩然之广陵,唐,composition_date,"{""precision"":""year"",""year_end"":728,""year_start"":728}",API年谱条目标注728年在江夏遇孟浩然并作诗；另有开元十五年说，故降为B级。,legacy:5cf6fed816b7cd51aa9f,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/25660,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/25660,B,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.807,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
b9e8dbe009bfe375f810ca4f3af7da7ee68aa0dbc74994deb8f0fc384e15a64a,李白,黄鹤楼送孟浩然之广陵,唐,composition_place,"{""historical_place"":""江夏黄鹤楼"",""lat"":30.550232,""lon"":114.309053,""modern_place"":""武汉市"",""province"":""湖北省""}",API年谱条目标注728年在江夏遇孟浩然并作诗；另有开元十五年说，故降为B级。,legacy:5cf6fed816b7cd51aa9f,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/25660,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/25660,B,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.807,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
2bc2027eebee11249f06dd573aa7509a40c98de9bbbac16c030463a094b02aba,李白,登金陵凤凰台,唐,composition_date,"{""precision"":""year"",""year_end"":747,""year_start"":747}",API年谱条目标注747年在金陵登凤凰台作诗；作品编年存在研究空间，按B级使用。,legacy:e22080ce3278c3aefee3,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25793,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25793,B,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.807,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
f834cdac4fa5b003f8c8f90410b2b1455e4bbd4a13697e382312f702b8d1260e,李白,登金陵凤凰台,唐,composition_place,"{""historical_place"":""金陵凤凰台"",""lat"":32.064735,""lon"":118.802891,""modern_place"":""南京市"",""province"":""江苏省""}",API年谱条目标注747年在金陵登凤凰台作诗；作品编年存在研究空间，按B级使用。,legacy:e22080ce3278c3aefee3,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25793,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25793,B,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.807,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
ea60116ffa3ada0c5050285163bd4deedfd9ee9fda070d97927498968bf626d8,李白,早发白帝城,唐,composition_date,"{""precision"":""year"",""year_end"":759,""year_start"":759}",API年谱条目标注759年三月流放途中遇赦后自白帝城返江陵。,legacy:65039d126536321e80a2,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25562,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25562,B,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.807,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
855578b3c591af0eab4cedc5a5b28a15804e6cec28ded0532aa63db9d9276bb1,李白,早发白帝城,唐,composition_place,"{""historical_place"":""夔州白帝城"",""lat"":31.050156,""lon"":109.580403,""modern_place"":""重庆市奉节县"",""province"":""重庆市""}",API年谱条目标注759年三月流放途中遇赦后自白帝城返江陵。,legacy:65039d126536321e80a2,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25562,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25562,B,public_web,历史审核记录迁移；仅保留短引与题录,0.95,0.807,legacy_review_migration_v1,,,approved,legacy_import,Migrated from verified_poem_contexts.csv,2026-07-14T02:12:34+00:00
